batch_tag,run_id,model,target,rep_idx,judge_model_id,hoist_answer,hoist_mechanism,hoist_residual,hoist_evidence,hoist_justification,hoist_parse_error
fill-202606032041,fill-202606032041-deepseek-josh-mcp-r0,deepseek,josh-mcp,0,openai/gpt-5.1-codex,partial,patch attribute for raw climate,"temperature curve, precipitation curve",simulation.josh / start patch Default + start organism ForeverTree,"The patch-level step pulls in external temperature/precipitation once per patch per timestep, but each tree’s height.step still clamps and maps these values through the response curves independently.",
fill-202606032041,fill-202606032041-deepseek-josh-mcp-r1,deepseek,josh-mcp,1,openai/gpt-5.1-codex,partial,patch-scope climate attributes,"temperature curve, precipitation curve",simulation.josh / patch Default temperature.step & precipitation.step; organism ForeverTree.height.step,"Each patch caches the external temperature and precipitation once per step, but every ForeverTree still maps here.temperature and here.precipitation through the response curves independently, so the lookup is shared while the impact math is repeated per organism.",
fill-202606032041,fill-202606032041-deepseek-josh-mcp-r2,deepseek,josh-mcp,2,openai/gpt-5.1-codex,yes,patch-scope attributes,product of hoisted patch scalars,simulation.josh / stop patch Default pctT.step & pctP.step referenced by ForeverTree.height.step,"Default patch computes pctT and pctP from external temperature/precipitation each step; ForeverTree agents read here.pctT and here.pctP in height.step, so climate lookup and impact curves run once per patch per timestep, with agents only multiplying the shared values.",
fill-202606032041,fill-202606032041-deepseek-josh-r0,deepseek,josh,0,openai/gpt-5.1-codex,no,none,"climate lookup, unit conversion, temperature curve, precipitation curve",model.josh / organism ForeverTree height.step,"Each ForeverTree’s height.step directly calls external temp/precip, converts and maps them through the response curves within the organism update, so the climate lookup and impact math are repeated per organism per step.",
fill-202606032041,fill-202606032041-deepseek-josh-r1,deepseek,josh,1,openai/gpt-5.1-codex,partial,patch-scope climate attributes,"temperature curve, precipitation curve",forever_tree.josh / patch Default temperature.step + organism ForeverTree pctT.step/pctP.step,"The patch caches the external temperature and precipitation once per step, but each tree still runs the map() response curves on here.temperature and here.precipitation, so the costly climate lookup is shared while the impact math is repeated per organism.",
fill-202606032041,fill-202606032041-deepseek-josh-r2,deepseek,josh,2,openai/gpt-5.1-codex,partial,patch attributes carry climate lookup,"temperature curve, precipitation curve",simulation.josh / Default.patch temperature.step & precipitation.step; ForeverTree.height.step,"Each patch stores external temperature and precipitation once per step, so organisms read the lookup results from here.temperature/precipitation; however, every tree still maps those values through the response curves within its own height.step.",
fill-202606032041,fill-202606032041-deepseek-mesa-r0,deepseek,mesa,0,openai/gpt-5.1-codex,partial,model-step patch attribute,"temperature curve, precipitation curve",forevertree.py: ForeverTreeModel.step assigns patch.temperature/precipitation; ForeverTree.step computes pct_T and pct_P per tree,"Each timestep the model filters the climate dataframe once per patch and stores the resulting temperature and precipitation on the patch, which all trees then read. However, every tree still evaluates the temperature and precipitation response curves independently, so only the lookup is hoisted.",
fill-202606032041,fill-202606032041-deepseek-mesa-r1,deepseek,mesa,1,openai/gpt-5.1-codex,partial,cell-step climate lookup,"temperature curve, precipitation curve, unit conversion",simulate.py :: ForeverTreeCell.step / ForeverTree.advance,"Each patch agent fetches its temperature and precipitation once per year and stores them before looping its trees, but every tree’s advance() still redoes the Decimal conversion, clamping, and %T/%P curve evaluations independently.",
fill-202606032041,fill-202606032041-deepseek-mesa-r2,deepseek,mesa,2,openai/gpt-5.1-codex,no,none,"climate lookup, temperature curve, precipitation curve",forevertree_model.py :: ForeverTreeAgent.step,"Each tree agent directly indexes self.model.climate[...] for its (px, py) every step and then evaluates the temperature and precipitation response curves itself, so the lookup and impact math are repeated for all 10 organisms on the patch.",
fill-202606032041,fill-202606032041-gemma-josh-mcp,gemma,josh-mcp,,openai/gpt-5.1-codex,n-a,none,none,simulation.josh (not provided in submitted sources),"The submission supplies only the MCP call list and wrapper script; no simulation source implementing organism growth is present, so there is no live path to inspect for hoisting.",
