# Overnight headline panel: 5 models × 2 targets, 1 rep per iteration.
# scripts/run_overnight.sh invokes launch_batch.py with this CSV five
# times with distinct batch tags, yielding 5 reps per (model, target)
# = 50 cells total. Each iteration uploads independently via mc, so a
# mid-run failure preserves prior iterations' results in GCS.
model,rung,target,replicates
claude,5,josh,1
claude,5,mesa,1
gemma,5,josh,1
gemma,5,mesa,1
kimi,5,josh,1
kimi,5,mesa,1
minimax,5,josh,1
minimax,5,mesa,1
mistral,5,josh,1
mistral,5,mesa,1
